DATA_ID,PRED_ID,LOC_ID,LME_NUM,COUNTRY,STATE,GULF_OCTANT,LOCALE_NAME,LOCALE_TYPE,BAY_HIERARC_LEVEL,SAMP_DEP_REALM,LOC_CENTR_LAT,LOC_CENTR_LONG,LOC_POLY_COORDS,PRED_POLY_SHAPEFILE_ID,PRED_CENT_SHAPEFILE_ID,PRED_STAT_SHAPEFILE_ID,LOC_POLY_SOURCE,LOC_POLY_CONF,MAJOR_LOC_NAME,MAJOR_LOC_TYPE,MIN_DEP_LOC,MAX_DEP_LOC,MN_DEP_LOC,MIN_DEP_SAMP,MAX_DEP_SAMP,MN_DEP_SAMP,TIME_ZONE,START_YEAR,START_MON,START_DAY,START_TIME,START_SEAS,END_YEAR,END_MON,END_DAY,END_TIME,END_SEAS,REALM,PROVINCE,ECOREGION,HAB_SYSTEM,HAB_SUBSYSTEM,TIDAL_ZONE,SYS_CONF,LOC_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
MOL_2O,Lbis.1,NA,5,US,TX,NNW,8 mi South of High Island ,Costal Waters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,NA,NA,10,0,4,2,CST,1974,6,NA,NA,Summer,1974,6,NA,NA,Summer,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Dsmi.1,NA,5,US,TX,NNW,8 mi South of High Island ,Costal Waters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,NA,NA,10,0,4,2,CST,1974,6,NA,NA,Summer,1974,6,NA,NA,Summer,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Lbis.2,NA,5,US,TX,NNW,8 mi South of High Island ,Costal Waters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,NA,NA,10,0,4,2,CST,1974,9,NA,NA,Fall,1974,9,NA,NA,Fall ,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Dsmi.2,NA,5,US,TX,NNW,8 mi South of High Island ,Costal Waters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,NA,NA,10,0,4,2,CST,1974,9,NA,NA,Fall,1974,9,NA,NA,Fall,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Lbis.3,NA,5,US,TX,NNW,8 mi South of High Island ,Costal Waters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,NA,NA,10,0,4,2,CST,1974,12,NA,NA,Winter,1974,12,NA,NA,Winter,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Dsmi.3,NA,5,US,TX,NNW,8 mi South of High Island ,Costal Waters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,NA,NA,10,0,4,2,CST,1974,12,NA,NA,Winter,1974,12,NA,NA,Winter,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Lbis.4,NA,5,US,TX,NNW,Oil platform 29 miles south of the Galvston Lighthouse ,Ship Channel ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,12,21,16.5,6,12,9,CST,1974,11,NA,NA,Fall,1974,11,NA,NA,Fall,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,
MOL_2O,Lari.1,NA,5,US,TX,NNW,Oil platform 29 miles south of the Galvston Lighthouse ,Ship Channel ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwest Gulf of Mexico ,Gulf/Ocean Waters ,12,21,16.5,6,12,9,CST,1974,11,NA,NA,Fall ,1974,11,NA,NA,Fall,TNA,WTNA,43,Marine,Offshore,Subtidal,NA,NA,NA,2/3/2017,Tarah Murray ,2/7/2017,Tarah Murray,NA
ACT_15B,Mbir.1,NA,5,US,TX,WNW,Galveston,Coastal Waters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwestern Gulf of Mexico,Gulf/Ocean waters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNA,WTNA,43,Estuarine,Open water,Subtidal,NA,NA,10/22/2016,Rebecca Lund,NA,Rebecca Lund,8/31/2018,James Simons
ACT_21S,Soce.1,ACT_21s.1,5,US,TX,NNW,Galveston Bay,Bay/lagoon,1,NA,29.403563,-94.853761,"(((-95.098094833,-95.0767412812),(-95.0767412812,-95.080680715),(-95.080680715,-95.0818691136),(-95.0818691136,-95.0823444730999),(-95.0823444730999,-95.0754517609999),(-95.0754517609999,-95.0711735258999),(-95.0711735258999,-95.0645184935),(-95.0645184935,-95.0609532975999),(-95.0609532975999,-95.0554866638999),(-95.0554866638999,-95.0514461085),(-95.0514461085,-95.0407505207),(-95.0407505207,-95.0388490829),(-95.0388490829,-95.0352979479999),(-95.0352979479999,-95.0266614689),(-95.0266614689,-95.0345965252),(-95.0345965252,-95.0415783672),(-95.0415783672,-95.0429153157),(-95.0429153157,-95.0479660098999),(-95.0479660098999,-95.0494515081999),(-95.0494515081999,-95.0475203604),(-95.0475203604,-95.0439551645),(-95.0439551645,-95.040835618),(-95.040835618,-95.0311798790999),(-95.0311798790999,-95.0268719339999),(-95.0268719339999,-95.0231581883),(-95.0231581883,-95.02167269),(-95.02167269,-95.0313284288999),(-95.0313284288999,-95.0293972812),(-95.0293972812,-95.0247922364),(-95.0247922364,-95.0176618445999),(-95.0176618445999,-95.0102343531),(-95.0102343531,-95.0036981605999),(-95.0036981605999,-94.9979047172),(-94.9979047172,-94.9915170745999),(-94.9915170745999,-94.9846639122999),(-94.9846639122999,-94.973347347),(-94.973347347,-94.9612998369999),(-94.9612998369999,-94.9530040928),(-94.9530040928,-94.9584406422),(-94.9668738992999,-94.9674762748),(-94.9674762748,-94.9747047807999),(-94.9747047807999,-94.9710905278),(-94.9710905278,-94.9747047807999),(-94.9747047807999,-94.9661209299),(-94.9661209299,-94.9593442055),(-94.9593442055,-94.9510615422999),(-94.9510615422999,-94.9478547291),(-94.9478547291,-94.9453975419999),(-94.9453975419999,-94.940406267),(-94.940406267,-94.92959184),(-94.92959184,-94.9329193559999),(-94.9329193559999,-94.913191939),(-94.913191939,-94.9070122659999),(-94.9070122659999,-94.9057050269999),(-94.9057050269999,-94.925788964),(-94.925788964,-94.92935416),(-94.92935416,-94.926264324),(-94.926264324,-94.91212238),(-94.91212238,-94.903922429),(-94.903922429,-94.8923949619999),(-94.8923949619999,-94.892157283),(-94.892157283,-94.908254142),(-94.908254142,-94.904974162),(-94.904974162,-94.907041976),(-94.907041976,-94.89984028),(-94.89984028,-94.8942072699999),(-94.8942072699999,-94.876096075),(-94.876096075,-94.879162144),(-94.879162144,-94.8731726139999),(-94.8731726139999,-94.8651865759999),(-94.8651865759999,-94.8650439679999),(-94.8650439679999,-94.87181784),(-94.87181784,-94.884509937),(-94.884509937,-94.8873620939999),(-94.8873620939999,-94.885436888),(-94.885436888,-94.8937081429999),(-94.8937081429999,-94.9006246229999),(-94.9006246229999,-94.890855986),(-94.890855986,-94.8884316529999),(-94.8884316529999,-94.8906420739999),(-94.8906420739999,-94.8873620939999),(-94.8873620939999,-94.887081498),(-94.887081498,-94.8917043689999),(-94.8917043689999,-94.916383479),(-94.916383479,-94.917955198),(-94.917955198,-94.923715713),(-94.923715713,-94.901254979),(-94.901254979,-94.9035129359999),(-94.9035129359999,-94.897689783),(-94.897689783,-94.8991158609999),(-94.8991158609999,-94.9069592919999),(-94.9069592919999,-94.909692609),(-94.909692609,-94.915278083),(-94.915278083,-94.931321464),(-94.931321464,-94.9376199769999),(-94.9376199769999,-94.938214176),(-94.938214176,-94.9497416429999),(-94.9497416429999,-94.945938768),(-94.945938768,-94.951286562),(-94.951286562,-94.9605560709999),(-94.9605560709999,-94.947959045),(-94.947959045,-94.9366692579999),(-94.9366692579999,-94.9329852219999),(-94.9329852219999,-94.922136846),(-94.922136846,-94.92628677),(-94.92628677,-94.931634563),(-94.931634563,-94.926714593),(-94.926714593,-94.926785897),(-94.926785897,-94.934058897),(-94.934058897,-94.94947603),(-94.94947603,-94.971376292),(-94.971376292,-94.973875437),(-94.973875437,-94.9878941909999),(-94.9878941909999,-94.9986491989999),(-94.9986491989999,-95.0020955549999),(-95.0020955549999,-95.0143360609999),(-95.0143360609999,-95.0043535119999),(-95.0043535119999,-95.0019767149999),(-95.0019767149999,-94.9979955799999),(-94.9979955799999,-94.986052173),(-94.986052173,-94.9791389349999),(-94.9791389349999,-94.9700959689999),(-94.9700959689999,-94.964141978),(-94.964141978,-94.959011481),(-94.959011481,-94.956546775),(-94.956546775,-94.9548960839999),(-94.9548960839999,-94.950896129),((-94.9260823649999,-94.909159568),(-94.909159568,-94.910395503),(-94.910395503,-94.9221844169999),(-94.9221844169999,-94.980938846),(-94.980938846,-95.003375812),(-95.003375812,-95.0142140079999),(-95.0142140079999,-95.016115446),(-95.016115446,-95.028098692),(-95.028098692,-95.0349769609999),(-95.0349769609999,-95.0375439019999),(-95.0375439019999,-95.049629916),(-95.049629916,-95.0516264259999),(-95.0516264259999,-95.0662080769999),(-95.0662080769999,-95.0730532529999),(-95.0730532529999,-95.078472351),(-95.078472351,-95.0790784339999),(-95.0790784339999,-95.0831784089999),(-95.0831784089999,-95.0828931939999),(-95.0828931939999,-95.0857810029999),(-95.0857810029999,-95.0730532529999),(-95.0730532529999,-95.077224532),(-95.077224532,-95.073837596),(-95.073837596,-95.071377611),(-95.071377611,-95.0817166789999),(-95.0817166789999,-95.086137522),(-95.086137522,-95.0821445029999),(-95.0821445029999,-95.091128796),(-95.091128796,-95.0808253799999),(-95.0808253799999,-95.0805045129999),(-95.0805045129999,-95.0702367479999),(-95.0702367479999,-95.067241984),(-95.067241984,-95.0687037139999),(-95.0687037139999,-95.0571643629999),(-95.0571643629999,-95.0328923109999),(-95.0328923109999,-95.020776518),(-95.020776518,-95.0066082569999),(-95.0066082569999,-94.9821747809999),(-94.9821747809999,-94.9988123619999),(-94.9988123619999,-94.9975764269999),(-95.002425094,-95.008034335),(-95.008034335,-95.0145942959999),(-95.0145942959999,-95.0154499429999),(-95.0154499429999,-95.007083616),(-95.007083616,-94.9878790939999),(-94.9878790939999,-94.9810339179999),(-94.9810339179999,-94.972719115),(-94.972719115,-94.9537047369999),(-94.9537047369999,-94.9525163379999),(-94.9525163379999,-94.946098985),(-94.946098985,-94.9425337889999),(-94.9425337889999,-94.9415830709999),(-94.9415830709999,-94.9506149),(-94.9506149,-94.964162645),(-94.964162645,-94.972956795),(-94.972956795,-94.9865045389999),(-94.9865045389999,-94.99434797),(-94.99434797,-95.0008876659999),(-95.0008876659999,-95.01819075),(-95.01819075,-95.0205675469999),(-95.0205675469999,-95.0268422919999),(-95.0268422919999,-95.0342579),(-95.0342579,-95.053747637),(-95.053747637,-95.0563145779999),(-95.0563145779999,-95.0516560559999),(-95.0516560559999,-95.0555540029999),(-95.0555540029999,-95.050229977),(-95.050229977,-95.0514659119999),(-95.0514659119999,-95.05840616),(-95.05840616,-95.055934291),(-95.055934291,-95.06696263),(-95.06696263,-95.0661069829999),(-95.0661069829999,-95.0731423029999),(-95.0731423029999,-95.0807480539999),(-95.0807480539999,-95.0724621549999),(-95.0724621549999,-95.0633879229999),(-95.0633879229999,-95.049222211),(-95.049222211,-95.044088329),(-95.044088329,-95.04313761),(-95.04313761,-95.0487468519999),(-95.0487468519999,-95.0565427469999),(-95.0565427469999,-95.0496975709999),(-95.0496975709999,-95.0530250869999),(-95.0530250869999,-95.042377035),(-95.042377035,-95.033915637),(-95.033915637,-95.0226971539999),(-95.0226971539999,-95.0246323289999),(-95.0246323289999,-95.029861283),(-95.029861283,-95.0434684469999),(-95.0434684469999,-95.044122066),(-95.044122066,-95.0403786109999),(-95.0403786109999,-95.0184189189999),(-95.0184189189999,-95.0137603959999),(-95.0137603959999,-95.0072955069999),(-95.0072955069999,-94.9959819519999),(-94.9959819519999,-94.998739037),(-94.998739037,-94.9967425279999),(-94.9967425279999,-94.9805803059999),(-94.9805803059999,-94.968791392),(-94.968791392,-94.943502269),(-94.943502269,-94.935896517),(-94.935896517,-94.937607811),(-94.937607811,-94.934375367),(-94.934375367,-94.92848091),(-94.92848091,-94.920304727),(-94.920304727,-94.9261991839999),(-94.9261991839999,-94.9209702299999),(-94.9209702299999,-94.9094665319999),(-94.9094665319999,-94.882180899),(-94.882180899,-94.8693224259999),(-94.8693224259999,-94.8641885429999),(-94.8641885429999,-94.854205995),(-94.854205995,-94.8165575259999),(-94.8165575259999,-94.832437545),(-94.832437545,-94.835384773),(-94.835384773,-94.833958695),(-94.833958695,-94.8177014019999),(-94.8177014019999,-94.8173211139999),(-94.8173211139999,-94.812852735),(-94.812852735,-94.7967855849999),(-94.7967855849999,-94.7967855849999),(-94.7967855849999,-94.802965258),(-94.802965258,-94.793743285),(-94.793743285,-94.79802152),(-94.79802152,-94.800778605),(-94.800778605,-94.8032504739999),(-94.8032504739999,-94.7960250099999),(-94.7960250099999,-94.8011558799999),((-94.8011558799999,-94.7398703519999),(-94.7398703519999,-94.737398483),(-94.737398483,-94.7411062869999),(-94.7411062869999,-94.730933594),(-94.730933594,-94.722567268),(-94.722567268,-94.730458235),(-94.730458235,-94.7235179869999),(-94.7235179869999,-94.726275072),(-94.726275072,-94.7242785619999),(-94.7242785619999,-94.7170530979999),(-94.7170530979999,-94.7250391369999),(-94.7250391369999,-94.718859464),(-94.718859464,-94.7176235299999),(-94.7176235299999,-94.714771373),(-94.714771373,-94.7084015559999),(-94.7084015559999,-94.7115389279999),(-94.7115389279999,-94.7070705499999),(-94.7070705499999,-94.702507099),(-94.702507099,-94.696802785),(-94.696802785,-94.6963274259999),(-94.6963274259999,-94.7102079219999),(-94.7102079219999,-94.7018415959999),(-94.7018415959999,-94.696992929),(-94.696992929,-94.698419008),(-94.698419008,-94.6920491909999),(-94.6920491909999,-94.6894822499999),(-94.6894822499999,-94.6965175699999),(-94.6965175699999,-94.7002253729999),(-94.7002253729999,-94.714200941),(-94.714200941,-94.713345294),(-94.713345294,-94.7205707579999),(-94.7205707579999,-94.7355921169999),(-94.7355921169999,-94.753085345),(-94.753085345,-94.752514914),(-94.752514914,-94.74880711),(-94.74880711,-94.7502331879999),(-94.7502331879999,-94.7623073179999),(-94.7623073179999,-94.7720997229999),(-94.7720997229999,-94.7797054739999),(-94.789402807,-94.780751265),(-94.780751265,-94.7705785729999),(-94.7705785729999,-94.756127645),(-94.756127645,-94.704978968),(-94.704978968,-94.687390668),(-94.687390668,-94.6637177669999),(-94.6637177669999,-94.6140902399999),(-94.6140902399999,-94.5640824249999),(-94.5640824249999,-94.546589198),(-94.546589198,-94.5369869369999),(-94.5369869369999,-94.5251980219999),(-94.5251980219999,-94.521775434),(-94.521775434,-94.4986729639999),(-94.4986729639999,-94.4964863109999),(-94.4964863109999,-94.4761296429999),(-94.4761296429999,-94.470781849),(-94.470781849,-94.470781849),(-94.470781849,-94.4871817509999),(-94.4871817509999,-94.488726669),(-94.488726669,-94.4955005409999),(-94.4955005409999,-94.4966889399999),(-94.4966889399999,-94.4893208679999),(-94.4893208679999,-94.4900339069999),(-94.4900339069999,-94.4968077789999),(-94.4968077789999,-94.505720769),(-94.505720769,-94.5121381219999),(-94.5121381219999,-94.5319843789999),(-94.5319843789999,-94.555395832),(-94.555395832,-94.568705897),(-94.568705897,-94.5922361899999),(-94.5922361899999,-94.597108625),(-94.597108625,-94.5953260269999),(-94.5953260269999,-94.6062592939999),(-94.6062592939999,-94.6413170539999),(-94.6413170539999,-94.650586563),(-94.650586563,-94.6696009409999),(-94.6696009409999,-94.6785139309999),(-94.6785139309999,-94.68813996),(-94.68813996,-94.6877834409999),(-94.6877834409999,-94.694557313),(-94.694557313,-94.7003804659999),(-94.7003804659999,-94.713334011),(-94.713334011,-94.726525236),(-94.726525236,-94.7828935179999),(-94.7828935179999,-94.779203202),(-94.779203202,-94.782411878),(-94.782411878,-94.77942312),(-94.77942312,-94.7682190799999),(-94.7682190799999,-94.7615640469999),(-94.7615640469999,-94.7502742599999),(-94.7502742599999,-94.7395786729999),(-94.7395786729999,-94.7198512549999),(-94.7198512549999,-94.7241294899999),(-94.7241294899999,-94.7298338039999),(-94.7298338039999,-94.7493235419999),(-94.7493235419999,-94.767081536),(-94.767081536,-94.771747094),(-94.771747094,-94.777370761),(-94.777370761,-94.7833127549999),(-94.7833127549999,-94.7919286449999),(-94.7919286449999,-94.797870638),(-94.797870638,-94.799356136),(-94.799356136,-94.796682239),(-94.796682239,-94.807972026),(-94.807972026,-94.821044411),(-94.821044411,-94.8237183079999),(-94.8237183079999,-94.8207473119999),(-94.8207473119999,-94.823421209),(-94.823421209,-94.819937134),(-94.819937134,-94.8461467909999),(-94.8461467909999,-94.8532771819999),(-94.8532771819999,-94.8808480309999),(-94.8808480309999,-94.864923489),(-94.864923489,-94.84685983),(-94.84685983,-94.839967118),(-94.839967118,-94.8340251249999),(-94.8340251249999,-94.832123687),(-94.832123687,-94.8406801569999),(-94.8406801569999,-94.851851104),(-94.851851104,-94.857555418),(-94.857555418,-94.8841755469999),(-94.8841755469999,-94.9260071789999),(-94.9260071789999,-94.9260071789999),(-94.9260071789999,-94.921253585),(-94.921253585,-94.9136478329999),(-94.9136478329999,-94.920065186),(-94.920065186,-94.9271955779999),(-94.9271955779999,-94.930760774),((-94.68813996,-94.6877834409999),(-94.6877834409999,-94.694557313),(-94.694557313,-94.7003804659999),(-94.7003804659999,-94.713334011),(-94.713334011,-94.726525236),(-94.726525236,-94.7828935179999),(-94.7828935179999,-94.779203202),(-94.779203202,-94.782411878),(-94.782411878,-94.77942312),(-94.77942312,-94.7682190799999),(-94.7682190799999,-94.7615640469999),(-94.7615640469999,-94.7502742599999),(-94.7502742599999,-94.7395786729999),(-94.7395786729999,-94.7198512549999),(-94.7198512549999,-94.7241294899999),(-94.7241294899999,-94.7298338039999),(-94.7298338039999,-94.7493235419999),(-94.7493235419999,-94.767081536),(-94.767081536,-94.771747094),(-94.771747094,-94.777370761),(-94.777370761,-94.7833127549999),(-94.7833127549999,-94.7919286449999),(-94.7919286449999,-94.797870638),(-94.797870638,-94.799356136),(-94.799356136,-94.796682239),(-94.796682239,-94.807972026),(-94.807972026,-94.821044411),(-94.821044411,-94.8237183079999),(-94.8237183079999,-94.8207473119999),(-94.8207473119999,-94.823421209),(-94.823421209,-94.819937134),(-94.819937134,-94.8461467909999),(-94.8461467909999,-94.8532771819999),(-94.8532771819999,-94.8808480309999),(-94.8808480309999,-94.864923489),(-94.864923489,-94.84685983),(-94.84685983,-94.839967118),(-94.839967118,-94.8340251249999),(-94.8340251249999,-94.832123687),(-94.8406801569999,-94.851851104),(-94.851851104,-94.857555418),(-94.857555418,-94.8841755469999),(-94.8841755469999,-94.9260071789999),(-94.9260071789999,-94.9260071789999),(-94.9260071789999,-94.921253585),(-94.921253585,-94.9136478329999),(-94.9136478329999,-94.920065186),(-94.920065186,-94.9271955779999),(-94.9271955779999,-94.930760774),(-94.930760774,-94.926720218),(-94.926720218,-94.936702767),(-94.936702767,-94.9224419829999),(-94.9224419829999,-94.930998453),(-94.930998453,-94.930760774),(-94.930760774,-94.9447838779999),(-94.9447838779999,-94.950488191),(-94.950488191,-94.954766426),(-94.954766426,-94.942169401),(-94.942169401,-94.9457345969999),(-94.9457345969999,-94.957380903),(-94.957380903,-94.9557171449999),(-94.9557171449999,-94.959282341),(-94.959282341,-94.9666504129999),(-94.9666504129999,-94.9590446609999),(-94.9590446609999,-94.9578562629999),(-94.9578562629999,-94.973336175),(-94.973336175,-94.9798961359999),(-94.9798961359999,-94.9699135869999),(-94.9699135869999,-94.9720051689999),(-94.9720051689999,-94.967631862),(-94.967631862,-94.975808044),(-94.975808044,-94.9706741619999),(-94.9706741619999,-94.977994698),(-94.977994698,-94.978755273),(-94.978755273,-94.970198803),(-94.970198803,-94.9827482919999),(-94.9827482919999,-94.991304763),(-94.991304763,-94.9933012719999),(-94.9933012719999,-94.9899737559999),(-94.9899737559999,-94.9856955209999),(-94.9856955209999,-94.9954879259999),(-94.9954879259999,-94.985030018),(-94.985030018,-94.9971992199999),(-94.9971992199999,-95.012981154),(-95.012981154,-95.0073719119999),(-95.0073719119999,-95.011460004),(-95.011460004,-95.0159283819999),(-95.0159283819999,-95.018400252),(-95.018400252,-95.0108895719999),(-95.0108895719999,-95.012220579),(-95.012220579,-95.017259389),(-95.017259389,-95.016879101),(-95.016879101,-95.026101075),(-95.026101075,-95.024484853),(-95.024484853,-95.0308546689999),(-95.0308546689999,-95.0272419369999),(-95.0272419369999,-95.0338018979999),(-95.0338018979999,-95.042643584),(-95.042643584,-95.0445450219999),(-95.0445450219999,-95.068408066),(-95.068408066,-95.068027779),(-95.068027779,-95.071355295),(-95.071355295,-95.080482196),(-95.080482196,-95.093411974),(-95.093411974,-95.1134721429999),(-95.1134721429999,-95.123454691),(-95.123454691,-95.120260411),(-95.120260411,-95.123974157),(-95.123974157,-95.132570004),(-95.132570004,-95.1345094699999),(-95.1345094699999,-95.130801667),(-95.130801667,-95.1457469679999),(-95.1457469679999,-95.1550449989999),(-95.1550449989999,-95.159779579),(-95.159779579,-95.168390556),(-95.168390556,-95.1986947209999),(-95.1986947209999,-95.2052309129999),(-95.2052309129999,-95.214738103),(-95.214738103,-95.2141439029999),(-95.2141439029999,-95.2199373469999),(-95.2199373469999,-95.220828646),(-95.220828646,-95.2411799719999),(-95.2411799719999,-95.235237979),(-95.235237979,-95.2358321779999),(-95.2358321779999,-95.2255822399999),(-95.2255822399999,-95.214441003),(-95.214441003,-95.210430157),)",NA,NA,NA,NA,NA,Northern Gulf of Mexico,Bay/Lagoon,NA,NA,NA,NA,NA,NA,CST,1997,9,16,NA,Fall,1997,11,21,NA,Fall,TNA,WTNA,43,Estuarine,Coastal,Subtidal,NA,NA,9/9/2016,Rebecca Lund,NA,Rebecca Lund,12/12/2016,Theresa Mitchell
