DATA_ID,PRED_ID,DATA_AGGR_CODE,PRED_SOURCE_NAME,PRED_DATABASE_NAME,SAMP_TYPE,TOT_PRED_SAMP_EXAM,TOT_W_FD,PCT_W_FD,TOT_WO_FD,PCT_WO_FD,PRED_DEN,PRED_SEX,PRED_SEX_RATIO,PRED_LIFE_HIST_STAGE,PRED_LEN_TYPE_1,PRED_MIN_LEN_1,PRED_MAX_LEN_1,PRED_MN_LEN_1,PRED_LEN_TYPE_2,PRED_MIN_LEN_2,PRED_MAX_LEN_2,PRED_MN_LEN_2,PRED_LEN_TYPE_3,PRED_MIN_LEN_3,PRED_MAX_LEN_3,PRED_MN_LEN_3,PRED_MIN_AGE,PRED_MAX_AGE,PRED_MN_AGE,PRED_MIN_WT,PRED_MAX_WT,PRED_MN_WT,PRED_TOT_WT,BIOMASS_DEN,STOM_PCT_FULL,STOM_COND_INDEX,TOT_FD_BIOMASS,TOT_FD_VOL,PREDATOR_NOTES,POP_TOT_PRED,POP_PRED_DEN,POP_SEX_RATIO,POP_LIFE_HIST_STAGE,POP_LEN_TYPE,POP_MIN_LEN,POP_MAX_LEN,POP_MN_LEN,POP_MIN_AGE,POP_MAX_AGE,POP_MN_AGE,POP_MIN_WT,POP_MAX_WT,POP_MN_WT,POP_TOT_WT,POP_BIOMASS_DEN,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
MOL_2O,Lbis.1,Season (ssfw),Lithophaga bisulcata ,Leiosolenus bisulcatus,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 1974, found 24 mussles per oyser out of 2 oysters examined in June. Researchers did not specify amount of individual species of mussels in each oyster.  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Dsmi.1,Season (ssfw),Diplothyra smithi,Diplothyra curta,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 1974, found 24 mussles per oyser out of 2 oysters examined in June. Researchers did not specify amount of individual species of mussels in each oyster. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Lbis.2,Season (ssfw),Lithophaga bisulcata ,Leiosolenus bisulcatus,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September 1974, found 21 mussels per oyster out of five oysters examined. Researchers did not specify amount of individual species of mussels in each oyster. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Dsmi.2,Season (ssfw),Diplothyra smithi,Diplothyra curta,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September 1974, found 21 mussels per oyster out of five oysters examined. Researchers did not specify amount of individual species of mussels in each oyster. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Lbis.3,Season (ssfw),Lithophaga bisulcata ,Leiosolenus bisulcatus,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December 1974, found 13 mussles per oyster examined out of the 3 oysters examined.  Researchers did not specify amount of individual species of mussels in each oyster. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Dsmi.3,Season (ssfw),Diplothyra smithi,Diplothyra curta,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December 1974, found 13 mussles per oyster examined out of the 3 oysters examined.  Researchers did not specify amount of individual species of mussels in each oyster. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Lbis.4,none,Lithophaga bisulcata ,Leiosolenus bisulcatus,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"November 1974, out of eleven oysters examined had an average of 3-5 mussles in each. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
MOL_2O,Lari.1,Raw ,Lithophaga aristata ,Leiosolenus aristatus,gut content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Single specimen found in November 1974 by SCUBA at depths of 6-12 meters. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell
ACT_15B,Mbir.1,none,Manta birostris,Manta birostris,gut content,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/22/2016,Rebecca Lund,1/6/2017,Theresa Mitchell,1/9/2017,Theresa Mitchell
ACT_21S,Soce.1,season,Sciaenops ocellatus,Sciaenops ocellatus,gut content,229,168,73.4,61,26.6,NA,NA,NA,NA,TL,291,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
