DATA_ID,PRED_ID,PREY_SOURCE_NAME,PREY_DATABASE_NAME,BASIS_OF_PREY_ID,PHYSIOLOG_STATE,SED_ORIGIN,PREY_PARTS,PREY_LIFE_HIST_STAGE,PREY_COND_INDEX,PREY_SEX,PREY_SEX_RATIO,PREY_LEN_TYPE,PREY_MIN_LEN,PREY_MAX_LEN,PREY_MN_LEN,PREY_MIN_WIDTH,PREY_MAX_WIDTH,PREY_MN_WIDTH,BIOMASS,BIOMASS_QUALIFIER,PCT_BIOMASS,PCT_BIOMASS_QUALIFIER,N_CONS,N_CONS_AVG,N_CONS_QUALIFIER,PCT_N_CONS,PCT_N_CONS_QUALIFIER,VOL_CONS,VOL_CONS_QUALIFIER,PCT_VOL_CONS,PCT_VOL_CONS_QUALIFIER,FREQ_OCC,FREQ_OCC_QUALIFIER,PCT_FREQ_OCC,PCT_FREQ_OCC_QUALIFIER,IRI,PCT_IRI,IRIa,IIR,E,PREY_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
MOL_2O,Lbis.1,Crassostrea virginica,Crassostrea virginica,unspecified,NA,NA,NA,NA,On some of the oysters there were cracks in the shells or blisters due to the infestation by mussels ,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Dsmi.1,Crassostrea virginica,Crassostrea virginica,unspecified,NA,NA,NA,NA,On some of the oysters there were cracks in the shells or blisters due to the infestation by mussels ,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Lbis.2,Crassostrea virginica,Crassostrea virginica,unspecified,NA,NA,NA,NA,On some of the oysters there were cracks in the shells or blisters due to the infestation by mussels ,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Dsmi.2,Crassostrea virginica,Crassostrea virginica,unspecified,NA,NA,NA,NA,On some of the oysters there were cracks in the shells or blisters due to the infestation by mussels ,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Lbis.3,Crassostrea virginica,Crassostrea virginica,unspecified,NA,NA,NA,NA,On some of the oysters there were cracks in the shells or blisters due to the infestation by mussels ,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Dsmi.3,Crassostrea virginica,Crassostrea virginica,unspecified,NA,NA,NA,NA,On some of the oysters there were cracks in the shells or blisters due to the infestation by mussels ,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Lbis.4,Ostrea equestris ,Ostrea stentina,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
MOL_2O,Lari.1,Ostrea equestris ,Ostrea stentina,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/5/2017,Theresa Mitchell,
ACT_15B,Mbir.1,solid ball of shrimp hulls,Dendrobranchiata,NA,NA,NA,hulls,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""a large and very solid ball of shrimp hulls. The ball was more than a foot and a half in diameter and very solid and hard packed.""",10/22/2016,Rebecca Lund,1/6/2017,Theresa Mitchell,1/9/2017,Theresa Mitchell,
ACT_15B,Mbir.1,flying fish,Exocoetidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imbedded in center of the shrimp ball,10/22/2016,Rebecca Lund,1/6/2017,Theresa Mitchell,1/9/2017,Theresa Mitchell,
