REF_ID,DATA_ID,DATA_TYPE,GAME_ID,DATA_SOURCE_TYPE,THESIS_TYPE,REF_TAG,AUTH_L_NAME,AUTH_SUFFIX,AUTH_F_NAME,AUTH_M_INIT,YEAR_PUB,TITLE_REF,EDITOR_L_NAME,EDITOR_F_NAME,EDITOR_M_INIT,SOURCE_NAME,VOL,NUM,START_PAGE,END_PAGE,DOI,PUB_NAME,PUB_CITY,PUB_STATE,PUB_COUNTRY,UNIV_NAME,UNIV_CITY,UNIV_STATE,UNIV_COUNTRY,REF_NOTES,LANGUAGE,DATA_POLY_SHAPEFILE_ID,DATA_CENT_SHAPEFILE_ID,DATA_STAT_SHAPEFILE_ID,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
MOL_2O,MOL_2O,pred/prey,NA,PL,NA,"Ogle, 1976",Ogle ,NA,John ,NA,1976,"The Occurrence of the Date Mussel, Lithophaga bisulcata (Mytildae), in Living Oysters off Galveston, Texas",Steele ,John ,NA,The Nautilus,90,2,74,76,NA,Nautilus Piblishing Company ,Oxford,MS,US,NA,NA,NA,NA,NA,English ,NA,NA,NA,1/27/2017,Tarah Murray ,3/7/2017,Tarah Murray ,5/2/2017,Theresa Mitchell
ACT_15B,ACT_15B,pred/prey,2570,PL,NA,"Baughman, 1950",Baughman,NA,J,L,1950,Random Notes on Texas Fishes,NA,NA,NA,The Texas Journal of Science,NA,NA,117,138,NA,Texas Academy of Science,Lubbock,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,1/6/2017,Theresa Mitchell,1/9/2017,Theresa Mitchell
ACT_21S,ACT_21S,pred/prey,3057,PL,NA,"Scharf and Schlicht, 2001",Schlicht,NA,Kurtis,K,2000,"Feeding Habits of Red Drum (Sciaenops ocellatus) in Galveston Bay, Texas: Seasonal Diet Variation and Predator-Prey Size Relationships",NA,NA,NA,Estuaries,23,1,128,139,NA,Estuarine Research Federation,Seattle,Washington,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_21S,ACT_21S,pred/prey,3057,PL,NA,"Scharf and Schlicht, 2001",Scharf,NA,Frederick,S,2000,"Feeding Habits of Red Drum (Sciaenops ocellatus) in Galveston Bay, Texas: Seasonal Diet Variation and Predator-Prey Size Relationships",NA,NA,NA,Estuaries,23,1,128,139,NA,Estuarine Research Federation,Seattle,Washington,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
AVE_1C,AVE_1C,pred/prey,NA,PL,NA,Cornelius 1977,Cornelius,NA,Stephen,E,1977,Food and resource utilization by wintering redheads on Lower Laguna Madre,NA,NA,NA,Journal of Wildlife Management,41,3,374,385,NA,The Wildlife Society,Bethesda,MD,US,NA,NA,NA,NA,NA,English,NA,NA,NA,12/2/2016,Rebecca Lund,6/12/2017,Theresa Mitchell,6/14/2017,Theresa Mitchell
AVE_4A,AVE_4A,pred/prey,NA,PL,NA,Allen 1954,Allen,NA,Robert,P,1954,Additonal Data on the Food of the Whooping Crane,NA,NA,NA,The Auk,71,2,198,198,NA,American Ornithological Society,Chicago,IL,US,NA,NA,NA,NA,NA,English,NA,NA,NA,4/5/2017,Michael Brode,yes,Michael Brode,5/10/2017,Theresa Mitchell
AVE_4H,AVE_4H,pred/prey,NA,PL,NA,Holderby et al 2014,Holderby,NA,Zachary,NA,2014,Comparisons of Reddish Egret (Egretta rufescens) diet during the breeding season across its geographic range,Jones,Stephanie,L,Waterbirds,37,2,136,143,NA,The Waterbird Society,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,4/28/2017,Michael Brode,yes,Michael Brode,5/10/2017,Theresa Mitchell
AVE_4H,AVE_4H,pred/prey,NA,PL,NA,Holderby et al 2014,Hill,NA,Austin,NA,2014,Comparisons of Reddish Egret (Egretta rufescens) diet during the breeding season across its geographic range,Jones,Stephanie,L,Waterbirds,37,2,136,143,NA,The Waterbird Society,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,4/28/2017,Michael Brode,yes,Michael Brode,5/10/2017,Theresa Mitchell
AVE_4H,AVE_4H,pred/prey,NA,PL,NA,Holderby et al 2014,Palacios,NA,Eduardo,NA,2014,Comparisons of Reddish Egret (Egretta rufescens) diet during the breeding season across its geographic range,Jones,Stephanie,L,Waterbirds,37,2,136,143,NA,The Waterbird Society,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,4/28/2017,Michael Brode,yes,Michael Brode,5/10/2017,Theresa Mitchell
AVE_4H,AVE_4H,pred/prey,NA,PL,NA,Holderby et al 2014,Green,NA,M,Clay,2014,Comparisons of Reddish Egret (Egretta rufescens) diet during the breeding season across its geographic range,Jones,Stephanie,L,Waterbirds,37,2,136,143,NA,The Waterbird Society,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,4/28/2017,Michael Brode,yes,Michael Brode,5/10/2017,Theresa Mitchell
